epoch,training_acc,training_loss,L2
1,3.05,1796.66,859.0
2,4.7,1789.86,875.0
3,5.66,1786.33,890.0
4,6.17,1783.49,905.0
5,7.06,1780.72,918.0
6,7.34,1778.57,930.0
7,7.83,1776.55,942.0
8,8.15,1774.81,953.0
9,8.36,1772.65,963.0
10,8.99,1770.9,974.0
11,8.9,1769.61,983.0
12,8.85,1768.19,992.0
13,9.55,1767.55,1000.0
14,9.42,1765.52,1009.0
15,9.87,1764.69,1018.0
16,10.22,1763.86,1026.0
17,10.69,1762.7,1034.0
18,10.45,1761.62,1042.0
19,10.38,1760.71,1050.0
20,10.95,1759.85,1058.0
21,11.11,1758.84,1067.0
22,10.91,1757.83,1075.0
23,11.28,1756.53,1083.0
24,11.05,1755.58,1091.0
25,11.84,1755.15,1100.0
26,11.68,1753.41,1108.0
27,11.61,1752.79,1116.0
28,11.72,1751.87,1124.0
29,11.81,1750.45,1132.0
30,11.55,1749.97,1140.0
31,12.3,1748.63,1148.0
32,12.57,1747.63,1157.0
33,12.23,1745.98,1166.0
34,12.93,1744.68,1174.0
35,12.8,1743.47,1182.0
36,12.58,1742.43,1190.0
37,13.07,1741.15,1198.0
38,12.93,1740.16,1206.0
39,13.5,1738.96,1214.0
40,13.35,1737.73,1222.0
41,13.36,1737.42,1230.0
42,13.08,1735.73,1238.0
43,13.15,1734.66,1247.0
44,13.46,1733.95,1254.0
45,13.92,1732.15,1262.0
46,13.62,1732.0,1270.0
47,13.29,1731.42,1278.0
48,13.34,1730.62,1286.0
49,13.84,1729.31,1293.0
50,13.15,1728.21,1300.0
51,13.74,1728.03,1308.0
52,14.05,1726.77,1315.0
53,13.89,1726.97,1323.0
54,13.99,1725.23,1330.0
55,14.1,1724.45,1336.0
56,14.24,1723.79,1344.0
57,14.35,1722.78,1351.0
58,14.38,1721.65,1359.0
59,14.75,1720.68,1366.0
60,14.28,1719.72,1373.0
61,14.62,1718.09,1380.0
62,15.0,1717.3,1387.0
63,15.23,1716.2,1394.0
64,15.33,1716.28,1401.0
65,14.92,1714.81,1407.0
66,15.44,1714.32,1413.0
67,14.87,1713.78,1420.0
68,14.79,1712.88,1426.0
69,15.13,1712.8,1433.0
70,15.38,1712.56,1440.0
71,15.21,1711.9,1447.0
72,15.25,1710.63,1453.0
73,15.26,1710.06,1460.0
74,15.76,1709.7,1468.0
75,15.25,1708.93,1474.0
76,15.5,1708.41,1481.0
77,15.53,1707.88,1487.0
78,15.57,1706.94,1493.0
79,15.36,1706.72,1499.0
80,15.35,1706.61,1506.0
81,15.79,1705.79,1513.0
82,15.55,1705.48,1519.0
83,15.9,1704.66,1525.0
84,15.83,1704.62,1531.0
85,15.92,1703.72,1537.0
86,15.93,1702.76,1543.0
87,15.99,1702.3,1548.0
88,15.84,1702.49,1554.0
89,15.65,1701.98,1561.0
90,16.01,1701.8,1567.0
91,15.91,1701.94,1574.0
92,15.99,1700.74,1579.0
93,16.03,1700.33,1585.0
94,15.95,1699.92,1591.0
95,16.24,1699.69,1596.0
96,16.0,1699.05,1603.0
97,16.1,1698.4,1610.0
98,16.55,1697.43,1615.0
99,16.18,1696.78,1621.0
