epoch,training_acc,training_loss,L2
1,4.26,1797.17,862.0
2,5.53,1790.28,878.0
3,5.63,1787.42,891.0
4,6.3,1786.09,902.0
5,6.94,1784.57,913.0
6,7.7,1782.8,925.0
7,7.72,1780.49,938.0
8,8.48,1779.11,948.0
9,8.88,1777.48,958.0
10,8.37,1776.93,968.0
11,8.78,1775.72,977.0
12,9.26,1774.5,986.0
13,8.01,1774.7,995.0
14,9.03,1773.19,1005.0
15,9.88,1772.45,1014.0
16,10.21,1771.33,1023.0
17,10.19,1770.22,1033.0
18,10.37,1769.34,1042.0
19,10.46,1768.36,1052.0
20,10.73,1767.9,1061.0
21,10.6,1766.69,1071.0
22,11.0,1765.48,1080.0
23,11.08,1765.11,1089.0
24,11.42,1764.3,1098.0
25,10.88,1763.39,1107.0
26,10.99,1762.7,1117.0
27,11.83,1761.75,1125.0
28,11.7,1760.63,1135.0
29,11.64,1760.16,1142.0
30,11.74,1759.61,1152.0
31,11.98,1758.84,1160.0
32,11.14,1758.37,1169.0
33,11.95,1757.98,1177.0
34,12.0,1756.45,1186.0
35,12.09,1755.62,1194.0
36,12.14,1755.07,1203.0
37,11.75,1754.13,1211.0
38,11.94,1753.63,1219.0
39,12.34,1753.79,1228.0
40,12.71,1752.6,1237.0
41,12.44,1751.39,1245.0
42,12.31,1750.86,1253.0
43,12.58,1750.23,1261.0
44,12.83,1749.64,1269.0
45,12.89,1748.63,1277.0
46,12.93,1747.81,1285.0
47,13.1,1747.16,1293.0
48,13.37,1746.43,1301.0
49,13.35,1745.5,1309.0
50,13.71,1745.14,1317.0
51,13.6,1743.9,1324.0
52,13.54,1743.64,1332.0
53,13.7,1743.12,1339.0
54,13.91,1742.26,1347.0
55,13.91,1741.51,1354.0
56,13.82,1741.76,1362.0
57,13.86,1741.06,1369.0
58,14.07,1740.48,1376.0
59,13.91,1739.84,1383.0
60,13.59,1739.12,1391.0
61,14.09,1738.5,1398.0
62,13.97,1738.13,1405.0
63,13.89,1737.61,1412.0
64,13.87,1737.45,1419.0
65,14.13,1736.38,1426.0
66,14.41,1736.09,1433.0
67,13.99,1735.97,1440.0
68,14.23,1735.58,1448.0
69,14.14,1734.85,1454.0
70,14.17,1734.34,1461.0
71,14.01,1733.78,1467.0
72,13.98,1733.57,1474.0
73,13.98,1733.05,1480.0
74,14.04,1732.97,1488.0
75,14.29,1732.48,1494.0
76,14.35,1731.7,1500.0
77,14.29,1731.69,1506.0
78,14.42,1731.13,1512.0
79,14.51,1731.05,1519.0
80,14.26,1730.67,1525.0
81,14.18,1730.77,1531.0
82,14.35,1730.34,1538.0
83,14.44,1729.91,1544.0
84,13.94,1729.61,1550.0
85,14.22,1729.5,1557.0
86,14.36,1729.43,1564.0
87,14.43,1728.69,1569.0
88,14.57,1729.01,1576.0
89,14.27,1728.13,1581.0
90,14.47,1727.71,1587.0
91,14.32,1727.69,1593.0
92,14.61,1727.33,1599.0
93,14.55,1727.77,1605.0
94,14.31,1727.0,1611.0
95,14.55,1726.64,1616.0
96,14.49,1725.95,1621.0
97,14.66,1726.12,1627.0
98,14.46,1725.82,1633.0
99,14.56,1725.96,1639.0
