epoch,training_acc,training_loss,L2
1,3.73,1795.59,857.0
2,5.92,1786.9,874.0
3,6.46,1783.01,889.0
4,8.2,1777.49,906.0
5,8.04,1773.78,921.0
6,8.57,1770.29,932.0
7,9.04,1767.06,941.0
8,10.17,1765.87,950.0
9,11.23,1764.22,958.0
10,11.65,1762.18,967.0
11,11.0,1760.41,975.0
12,11.9,1758.8,983.0
13,12.12,1757.82,991.0
14,11.81,1756.41,998.0
15,11.9,1755.41,1006.0
16,12.34,1754.81,1014.0
17,12.14,1753.13,1021.0
18,12.59,1752.43,1029.0
19,12.19,1750.68,1036.0
20,13.13,1750.14,1044.0
21,13.37,1748.3,1051.0
22,13.17,1746.91,1058.0
23,13.63,1745.96,1065.0
24,13.89,1744.69,1072.0
25,14.21,1743.37,1080.0
26,14.03,1742.8,1087.0
27,14.07,1741.23,1095.0
28,14.32,1740.8,1102.0
29,14.37,1740.18,1110.0
30,14.45,1738.13,1117.0
31,14.36,1737.54,1125.0
32,14.9,1736.27,1133.0
33,15.11,1735.78,1139.0
34,15.12,1734.43,1147.0
35,15.17,1732.96,1154.0
36,15.26,1731.75,1162.0
37,15.8,1731.52,1169.0
38,15.26,1730.49,1177.0
39,15.6,1729.08,1184.0
40,15.1,1728.72,1192.0
41,15.65,1727.24,1199.0
42,16.2,1726.89,1207.0
43,15.63,1724.83,1215.0
44,16.38,1723.8,1222.0
45,16.34,1721.72,1229.0
46,16.31,1721.72,1236.0
47,16.34,1720.56,1244.0
48,16.45,1719.12,1251.0
49,16.26,1719.42,1258.0
50,16.75,1718.25,1266.0
51,16.81,1716.18,1273.0
52,16.23,1715.12,1279.0
53,16.76,1715.26,1286.0
54,16.83,1714.09,1294.0
55,16.58,1712.97,1300.0
56,16.98,1712.33,1307.0
57,16.97,1710.56,1314.0
58,16.66,1709.82,1321.0
59,17.2,1709.2,1327.0
60,16.64,1709.44,1335.0
61,16.85,1708.46,1341.0
62,17.32,1707.36,1348.0
63,17.12,1706.23,1354.0
64,17.1,1706.27,1361.0
65,17.31,1705.31,1368.0
66,17.47,1704.74,1374.0
67,17.21,1704.59,1381.0
68,17.43,1703.46,1388.0
69,18.01,1702.79,1394.0
70,17.2,1701.55,1401.0
71,17.94,1700.92,1408.0
72,18.35,1699.96,1414.0
73,18.1,1698.22,1420.0
74,18.27,1697.94,1427.0
75,18.64,1696.03,1433.0
76,18.51,1695.91,1440.0
77,18.66,1693.63,1447.0
78,18.32,1692.81,1452.0
79,18.76,1691.81,1459.0
80,18.91,1691.17,1465.0
81,19.18,1690.14,1471.0
82,19.0,1689.08,1476.0
83,19.31,1689.35,1483.0
84,19.07,1688.92,1489.0
85,18.9,1687.58,1495.0
86,19.07,1686.75,1503.0
87,19.43,1685.8,1509.0
88,19.44,1684.77,1515.0
89,19.67,1683.32,1521.0
90,19.49,1681.94,1527.0
91,19.84,1681.64,1533.0
92,19.34,1680.53,1539.0
93,19.72,1679.77,1545.0
94,19.98,1679.0,1552.0
95,20.34,1678.28,1559.0
96,20.09,1676.63,1565.0
97,20.54,1675.12,1571.0
98,20.21,1674.75,1577.0
99,20.11,1674.07,1583.0
