epoch,training_acc,training_loss,L2
1,19.86,1446.13,11773.0
2,35.18,1075.45,13049.0
3,42.53,860.22,14539.0
4,47.85,723.09,16184.0
5,52.46,623.92,17973.0
6,53.81,540.27,19915.0
7,55.31,473.36,21993.0
8,55.97,410.05,24210.0
9,57.58,353.55,26538.0
10,57.41,300.13,28937.0
11,58.08,258.02,31415.0
12,58.49,218.81,33904.0
13,63.25,103.25,33940.0
14,62.97,66.32,33969.0
15,62.95,50.65,33997.0
16,62.89,39.07,34027.0
17,62.94,30.29,34057.0
18,62.77,23.43,34088.0
19,62.7,18.38,34120.0
20,62.46,13.99,34152.0
21,62.46,11.12,34183.0
22,62.38,9.3,34217.0
23,62.34,7.34,34248.0
24,62.52,5.46,34250.0
25,62.64,4.78,34252.0
26,63.03,4.68,34254.0
27,62.49,4.47,34257.0
28,62.72,4.19,34259.0
29,62.79,3.92,34262.0
30,62.69,3.84,34265.0
31,62.42,3.59,34268.0
32,62.56,3.5,34272.0
33,62.58,3.31,34275.0
34,62.86,3.13,34279.0
35,62.54,3.11,34279.0
36,62.47,3.08,34279.0
37,62.53,2.92,34280.0
38,62.55,2.96,34280.0
39,62.78,2.88,34281.0
40,62.42,2.92,34281.0
41,62.81,2.88,34281.0
42,62.58,2.82,34282.0
43,62.81,2.79,34282.0
44,62.82,2.79,34282.0
45,62.77,2.8,34283.0
46,62.81,2.83,34283.0
47,62.52,2.76,34283.0
48,62.65,2.77,34283.0
49,62.62,2.91,34283.0
