epoch,training_acc,training_loss,L2
1,19.64,1471.32,11790.0
2,34.29,1094.72,13123.0
3,41.75,872.57,14682.0
4,47.39,735.83,16386.0
5,51.24,632.8,18234.0
6,53.05,548.45,20206.0
7,54.92,480.64,22345.0
8,56.24,415.65,24602.0
9,57.18,357.36,26993.0
10,57.07,309.57,29448.0
11,58.11,264.38,31947.0
12,58.31,224.01,34462.0
13,62.83,106.54,34496.0
14,62.83,69.39,34524.0
15,63.08,53.43,34552.0
16,62.58,41.59,34582.0
17,62.98,32.34,34612.0
18,62.63,25.22,34644.0
19,62.48,19.69,34674.0
20,62.52,15.3,34705.0
21,62.47,12.04,34736.0
22,62.52,9.61,34767.0
23,62.37,7.62,34797.0
24,62.76,5.81,34799.0
25,62.55,5.03,34801.0
26,62.57,4.74,34803.0
27,62.5,4.7,34806.0
28,62.62,4.28,34808.0
29,62.39,4.16,34811.0
30,62.36,3.93,34813.0
31,62.77,3.88,34816.0
32,62.77,3.63,34819.0
33,62.44,3.57,34822.0
34,62.46,3.31,34825.0
35,62.39,3.14,34826.0
36,62.19,3.25,34826.0
37,62.73,3.0,34826.0
38,62.65,3.24,34827.0
39,62.38,3.01,34827.0
40,62.5,3.16,34828.0
41,62.59,3.01,34828.0
42,62.64,3.03,34828.0
43,62.53,2.85,34829.0
44,62.29,2.99,34829.0
45,62.57,2.93,34829.0
46,62.56,2.94,34829.0
47,62.54,3.0,34829.0
48,62.5,2.97,34829.0
49,62.3,3.02,34829.0
