epoch,training_acc,training_loss,L2
1,24.28,1375.71,8337.0
2,39.8,999.35,11151.0
3,46.91,784.13,14557.0
4,50.27,637.53,18409.0
5,52.86,512.33,22796.0
6,55.02,396.42,27602.0
7,55.55,281.54,32616.0
8,55.4,180.62,37344.0
9,54.46,101.72,41190.0
10,55.73,62.88,44561.0
11,55.06,50.38,48048.0
12,54.82,46.86,51925.0
13,59.08,16.11,51961.0
14,59.37,4.89,51970.0
15,59.47,3.23,51977.0
16,59.44,2.46,51985.0
17,59.45,1.95,51992.0
18,59.59,1.69,51999.0
19,59.67,1.49,52007.0
20,59.72,1.33,52016.0
21,59.65,1.31,52027.0
22,59.55,1.17,52039.0
23,59.73,1.16,52052.0
24,59.69,0.99,52053.0
25,59.7,0.85,52054.0
26,59.67,0.73,52055.0
27,59.75,0.62,52056.0
28,59.79,0.57,52058.0
29,59.71,0.59,52059.0
30,59.73,0.56,52061.0
31,59.69,0.55,52063.0
32,59.71,0.54,52065.0
33,59.81,0.52,52067.0
34,59.63,0.53,52070.0
35,59.65,0.46,52070.0
36,59.71,0.44,52070.0
37,59.72,0.44,52071.0
38,59.71,0.45,52071.0
39,59.69,0.43,52071.0
40,59.71,0.43,52072.0
41,59.7,0.43,52072.0
42,59.7,0.42,52072.0
43,59.71,0.43,52073.0
44,59.67,0.41,52073.0
45,59.71,0.41,52073.0
46,59.71,0.41,52073.0
47,59.7,0.42,52073.0
48,59.7,0.4,52074.0
49,59.7,0.41,52074.0
