epoch,training_acc,training_loss,L2
1,21.23,1457.02,8595.0
2,34.55,1101.58,11802.0
3,42.83,875.17,15625.0
4,47.67,722.12,19815.0
5,51.54,596.3,24458.0
6,53.62,481.8,29569.0
7,54.24,366.72,34999.0
8,54.37,254.33,40430.0
9,54.3,152.15,45151.0
10,54.11,87.0,49011.0
11,54.08,55.18,52378.0
12,53.99,53.81,56559.0
13,58.02,15.94,56594.0
14,58.23,5.85,56604.0
15,58.21,4.01,56613.0
16,58.4,3.06,56622.0
17,58.48,2.49,56631.0
18,58.33,2.12,56641.0
19,58.75,1.85,56651.0
20,58.64,1.83,56664.0
21,58.51,1.78,56678.0
22,58.68,1.49,56693.0
23,58.75,1.45,56711.0
24,58.8,1.18,56712.0
25,58.79,0.94,56713.0
26,58.83,0.79,56714.0
27,58.84,0.74,56716.0
28,58.86,0.7,56717.0
29,58.82,0.68,56719.0
30,58.82,0.67,56721.0
31,58.79,0.64,56723.0
32,58.87,0.68,56726.0
33,58.93,0.62,56729.0
34,58.87,0.59,56731.0
35,58.87,0.53,56732.0
36,58.85,0.52,56732.0
37,58.84,0.52,56732.0
38,58.87,0.52,56733.0
39,58.88,0.52,56733.0
40,58.92,0.52,56733.0
41,58.92,0.51,56734.0
42,58.89,0.51,56734.0
43,58.88,0.49,56735.0
44,58.9,0.51,56735.0
45,58.88,0.51,56735.0
46,58.9,0.5,56735.0
47,58.89,0.48,56735.0
48,58.89,0.49,56735.0
49,58.89,0.49,56735.0
