epoch,training_acc,training_loss,L2
1,37.61,841.4,852.0
2,42.61,805.45,884.0
3,43.54,789.83,913.0
4,49.25,776.37,943.0
5,51.88,763.37,970.0
6,50.97,753.71,997.0
7,54.22,744.47,1025.0
8,58.52,735.62,1053.0
9,58.08,727.67,1081.0
10,60.08,720.0,1109.0
11,61.14,712.74,1139.0
12,60.89,704.93,1169.0
13,64.73,698.38,1197.0
14,64.44,691.99,1226.0
15,65.68,686.63,1255.0
16,66.23,680.16,1282.0
17,67.08,676.43,1310.0
18,67.19,669.82,1338.0
19,67.23,665.73,1365.0
20,68.19,660.87,1392.0
21,68.52,656.15,1419.0
22,68.14,651.26,1445.0
23,68.62,647.53,1471.0
24,69.06,642.46,1496.0
25,70.06,640.19,1521.0
26,70.21,636.29,1545.0
27,70.21,633.76,1569.0
28,70.24,631.0,1592.0
29,70.69,628.03,1614.0
30,70.8,626.21,1634.0
31,70.13,623.59,1655.0
32,70.13,623.19,1677.0
33,70.87,621.04,1698.0
34,70.65,620.56,1720.0
35,70.84,618.02,1738.0
36,71.11,617.71,1759.0
37,70.59,616.49,1779.0
38,70.82,614.93,1799.0
39,71.35,614.34,1818.0
40,71.23,612.79,1836.0
41,70.99,612.35,1855.0
42,71.0,611.65,1874.0
43,71.03,611.3,1893.0
44,71.01,610.97,1913.0
45,71.8,609.41,1931.0
46,71.78,608.84,1948.0
47,71.76,608.14,1965.0
48,72.71,607.42,1983.0
49,72.3,606.9,2000.0
50,71.34,606.63,2017.0
51,71.21,606.57,2037.0
52,71.94,606.79,2057.0
53,71.24,605.56,2075.0
54,71.03,605.77,2093.0
55,72.48,604.42,2109.0
56,71.74,603.75,2125.0
57,70.1,604.15,2143.0
58,71.89,603.51,2161.0
59,72.0,603.39,2179.0
60,71.72,602.97,2197.0
61,72.17,602.17,2212.0
62,72.29,602.42,2231.0
63,71.97,601.17,2246.0
64,71.69,602.12,2265.0
65,72.12,601.19,2281.0
66,70.9,601.37,2299.0
67,72.07,601.06,2318.0
68,71.67,599.82,2332.0
69,71.97,599.97,2348.0
70,72.76,599.32,2365.0
71,72.59,599.68,2382.0
72,71.98,599.43,2400.0
73,72.85,599.11,2416.0
74,72.15,598.38,2431.0
75,71.84,598.39,2448.0
76,71.88,598.51,2464.0
77,72.5,598.81,2484.0
78,72.59,598.17,2499.0
79,72.29,597.53,2513.0
80,72.15,597.75,2529.0
81,72.99,598.06,2547.0
82,72.19,597.24,2563.0
83,72.54,597.82,2582.0
84,72.55,597.07,2596.0
85,72.41,596.42,2610.0
86,72.65,596.37,2625.0
87,72.67,596.87,2643.0
88,72.83,596.95,2661.0
89,72.65,597.35,2679.0
90,72.73,595.86,2693.0
91,72.32,596.17,2710.0
92,72.24,595.18,2723.0
93,72.17,595.59,2739.0
94,72.09,595.49,2754.0
95,72.45,595.75,2771.0
96,72.64,595.66,2787.0
97,71.4,596.13,2805.0
98,71.68,595.56,2822.0
99,72.43,594.84,2836.0
