epoch,training_acc,training_loss,L2
1,29.49,869.03,822.0
2,37.82,831.72,839.0
3,40.67,811.72,861.0
4,41.06,799.02,881.0
5,42.09,789.76,901.0
6,47.42,780.59,924.0
7,49.86,770.89,949.0
8,49.92,760.93,976.0
9,53.36,753.0,1002.0
10,54.59,742.84,1029.0
11,57.47,735.16,1058.0
12,59.42,725.67,1088.0
13,59.62,719.58,1118.0
14,59.73,711.59,1149.0
15,60.62,704.43,1180.0
16,62.27,696.79,1212.0
17,64.21,691.01,1244.0
18,64.68,685.82,1275.0
19,66.01,678.93,1308.0
20,65.04,673.25,1339.0
21,66.77,667.24,1371.0
22,66.71,663.53,1403.0
23,67.77,657.14,1434.0
24,67.93,652.34,1464.0
25,67.91,647.04,1493.0
26,68.27,644.4,1523.0
27,68.89,639.36,1551.0
28,68.84,637.19,1578.0
29,68.67,633.87,1605.0
30,69.11,630.78,1630.0
31,69.33,628.96,1657.0
32,69.17,626.54,1682.0
33,68.81,624.76,1707.0
34,68.58,622.51,1730.0
35,70.22,621.92,1754.0
36,69.91,620.35,1778.0
37,69.97,618.26,1799.0
38,69.81,617.48,1822.0
39,70.0,616.71,1845.0
40,69.32,615.26,1867.0
41,69.8,614.75,1891.0
42,70.06,614.16,1916.0
43,70.03,612.26,1937.0
44,70.31,611.31,1957.0
45,70.63,611.22,1981.0
46,70.57,611.43,2003.0
47,70.08,609.92,2025.0
48,70.37,608.65,2045.0
49,70.44,608.89,2067.0
50,69.32,608.23,2089.0
51,69.71,607.65,2111.0
52,70.5,606.38,2130.0
53,69.55,606.04,2149.0
54,68.96,606.23,2171.0
55,70.09,606.01,2194.0
56,70.26,605.78,2217.0
57,70.03,604.65,2236.0
58,70.97,604.53,2257.0
59,69.93,604.76,2280.0
60,70.98,604.01,2301.0
61,70.67,603.19,2319.0
62,70.62,603.03,2339.0
63,70.69,603.02,2361.0
64,70.73,602.43,2379.0
65,70.25,602.39,2400.0
66,70.54,602.12,2422.0
67,70.12,601.48,2440.0
68,70.2,601.26,2461.0
69,70.29,601.39,2483.0
70,70.8,600.21,2500.0
71,70.61,600.37,2520.0
72,70.45,600.41,2540.0
73,70.48,600.43,2560.0
74,70.53,600.12,2583.0
75,70.61,599.1,2600.0
76,70.01,599.21,2619.0
77,71.03,599.69,2641.0
78,69.6,598.76,2661.0
79,70.23,598.47,2675.0
80,71.01,598.99,2696.0
81,70.42,599.44,2718.0
82,71.37,598.56,2737.0
83,71.29,598.15,2756.0
84,70.51,598.11,2776.0
85,71.41,597.39,2791.0
86,71.22,597.09,2808.0
87,70.75,597.04,2826.0
88,70.67,597.45,2846.0
89,70.86,597.59,2867.0
90,70.86,597.21,2886.0
91,70.48,596.85,2904.0
92,70.34,597.41,2925.0
93,71.31,597.59,2947.0
94,70.48,597.41,2967.0
95,71.04,596.49,2985.0
96,71.51,596.15,3003.0
97,71.39,595.42,3018.0
98,71.39,596.08,3038.0
99,71.27,595.65,3056.0
