epoch,training_acc,training_loss,L2
1,31.92,847.56,893.0
2,38.13,808.79,935.0
3,46.24,790.83,970.0
4,48.91,774.77,1004.0
5,49.66,764.22,1037.0
6,53.22,755.31,1068.0
7,54.15,747.13,1099.0
8,55.45,740.04,1130.0
9,57.28,732.75,1161.0
10,59.06,725.4,1192.0
11,59.85,718.36,1223.0
12,61.26,712.1,1255.0
13,60.59,704.38,1285.0
14,60.99,698.46,1315.0
15,63.7,692.78,1345.0
16,64.6,687.33,1375.0
17,64.96,681.26,1406.0
18,63.79,676.21,1435.0
19,66.1,670.36,1465.0
20,64.17,665.88,1494.0
21,66.07,661.35,1522.0
22,67.35,656.82,1551.0
23,67.95,652.7,1579.0
24,67.27,648.51,1607.0
25,67.82,644.31,1634.0
26,68.75,641.61,1661.0
27,67.23,637.85,1688.0
28,68.39,634.8,1714.0
29,67.93,632.61,1740.0
30,69.37,630.24,1765.0
31,68.61,627.86,1790.0
32,69.18,626.1,1815.0
33,69.18,623.72,1839.0
34,70.47,622.08,1863.0
35,64.99,621.09,1886.0
36,69.18,620.07,1910.0
37,70.05,618.49,1932.0
38,69.53,617.17,1954.0
39,70.21,615.89,1976.0
40,68.75,615.09,1998.0
41,68.53,613.69,2019.0
42,69.84,613.53,2041.0
43,70.7,612.42,2062.0
44,68.78,611.53,2083.0
45,70.02,610.69,2104.0
46,70.77,609.94,2124.0
47,70.96,609.77,2144.0
48,70.0,608.98,2164.0
49,69.9,608.37,2184.0
50,70.84,608.01,2204.0
51,70.45,607.38,2223.0
52,70.35,607.33,2243.0
53,71.3,606.67,2262.0
54,70.48,606.55,2280.0
55,70.56,606.24,2300.0
56,71.06,605.32,2318.0
57,70.63,605.32,2337.0
58,70.69,605.02,2356.0
59,71.09,604.66,2374.0
60,71.4,604.01,2391.0
61,71.02,603.81,2410.0
62,71.43,603.35,2428.0
63,70.9,602.88,2446.0
64,71.49,602.72,2464.0
65,71.94,602.78,2483.0
66,70.72,601.97,2500.0
67,71.77,601.94,2518.0
68,71.6,601.65,2535.0
69,71.69,601.45,2552.0
70,71.09,601.21,2570.0
71,69.87,600.97,2586.0
72,72.17,601.26,2602.0
73,72.2,600.94,2621.0
74,70.59,600.43,2638.0
75,71.27,600.59,2654.0
76,71.03,600.66,2672.0
77,70.34,600.16,2688.0
78,71.4,600.01,2704.0
79,71.68,599.96,2721.0
80,70.98,600.05,2737.0
81,71.75,599.49,2754.0
82,71.14,599.7,2771.0
83,71.21,598.74,2787.0
84,72.0,598.63,2802.0
85,71.53,598.95,2819.0
86,72.36,598.41,2835.0
87,71.83,598.54,2852.0
88,70.52,598.38,2867.0
89,72.13,597.95,2882.0
90,71.52,597.82,2897.0
91,71.28,598.1,2913.0
92,71.19,598.35,2930.0
93,71.55,597.88,2945.0
94,72.35,597.83,2961.0
95,72.08,597.86,2977.0
96,72.37,597.44,2993.0
97,71.38,597.29,3008.0
98,72.01,597.38,3024.0
99,71.27,596.68,3039.0
