epoch,training_acc,training_loss,L2
1,36.08,857.05,887.0
2,39.08,826.12,925.0
3,47.69,811.45,958.0
4,48.83,801.07,991.0
5,49.03,792.84,1023.0
6,53.91,784.99,1054.0
7,57.25,777.84,1085.0
8,56.99,771.57,1116.0
9,56.82,766.02,1147.0
10,59.5,760.68,1177.0
11,60.81,754.98,1209.0
12,59.07,749.75,1239.0
13,61.14,745.11,1270.0
14,63.49,739.97,1301.0
15,63.65,735.16,1332.0
16,66.67,730.59,1362.0
17,67.01,726.12,1392.0
18,65.64,722.05,1422.0
19,67.58,717.86,1451.0
20,66.96,714.34,1481.0
21,68.17,710.59,1510.0
22,68.81,706.61,1539.0
23,66.97,702.33,1568.0
24,68.94,700.28,1596.0
25,69.47,697.06,1624.0
26,69.39,693.92,1652.0
27,70.78,690.88,1679.0
28,69.83,688.76,1705.0
29,71.12,686.11,1732.0
30,70.64,684.06,1758.0
31,70.71,682.45,1784.0
32,70.99,681.17,1808.0
33,71.53,679.62,1832.0
34,71.62,678.08,1857.0
35,71.07,677.14,1880.0
36,72.1,676.09,1903.0
37,72.15,674.79,1925.0
38,71.59,674.24,1948.0
39,71.47,673.41,1970.0
40,71.51,672.54,1992.0
41,71.97,672.15,2014.0
42,72.59,671.37,2035.0
43,70.48,670.54,2055.0
44,72.5,670.22,2076.0
45,72.72,669.44,2096.0
46,72.71,669.38,2116.0
47,72.77,668.86,2136.0
48,72.81,667.77,2155.0
49,73.19,667.96,2176.0
50,72.73,667.39,2196.0
51,72.42,666.66,2214.0
52,72.32,666.64,2234.0
53,72.09,666.49,2254.0
54,72.56,666.13,2272.0
55,72.64,665.79,2291.0
56,72.22,665.35,2309.0
57,72.55,665.04,2327.0
58,72.14,665.04,2346.0
59,72.98,664.74,2364.0
60,73.22,664.76,2383.0
61,73.24,664.2,2400.0
62,73.01,663.88,2418.0
63,73.35,663.5,2435.0
64,72.65,663.46,2453.0
65,72.3,663.53,2471.0
66,72.9,662.78,2487.0
67,72.25,663.26,2505.0
68,72.98,662.77,2522.0
69,71.81,662.07,2538.0
70,73.35,662.27,2556.0
71,73.83,662.03,2572.0
72,73.07,662.26,2590.0
73,72.88,661.58,2606.0
74,72.78,661.47,2623.0
75,73.63,661.2,2639.0
76,73.28,661.06,2655.0
77,73.85,661.35,2672.0
78,72.99,661.36,2689.0
79,73.3,660.98,2704.0
80,73.24,660.9,2721.0
81,73.9,660.77,2736.0
82,72.79,660.67,2753.0
83,69.99,660.64,2769.0
84,73.43,660.23,2785.0
85,73.63,660.01,2800.0
86,74.23,659.91,2814.0
87,73.3,660.42,2832.0
88,71.03,659.61,2845.0
89,73.3,659.93,2863.0
90,73.28,659.64,2878.0
91,73.16,659.57,2893.0
92,73.69,659.68,2908.0
93,73.52,659.17,2923.0
94,73.66,659.38,2939.0
95,74.36,659.25,2954.0
96,73.01,659.38,2970.0
97,73.0,659.21,2985.0
98,72.45,659.01,3000.0
99,73.24,659.1,3015.0
