epoch,training_acc,training_loss,L2
1,35.93,842.48,892.0
2,44.8,802.11,933.0
3,44.77,781.9,969.0
4,50.09,769.07,1001.0
5,50.56,758.01,1033.0
6,52.27,748.6,1064.0
7,55.92,739.66,1095.0
8,56.45,731.68,1126.0
9,58.42,724.72,1157.0
10,59.1,717.02,1188.0
11,60.34,710.31,1219.0
12,60.06,703.33,1250.0
13,62.64,696.75,1280.0
14,62.67,690.28,1310.0
15,63.13,684.2,1340.0
16,63.93,678.2,1370.0
17,63.3,672.45,1401.0
18,63.37,666.88,1430.0
19,63.6,661.94,1459.0
20,65.91,656.55,1488.0
21,66.14,652.55,1516.0
22,66.82,648.04,1544.0
23,66.98,644.61,1571.0
24,67.93,640.89,1598.0
25,66.77,637.81,1624.0
26,67.81,634.87,1650.0
27,64.95,631.79,1676.0
28,68.27,629.98,1700.0
29,68.57,627.71,1725.0
30,68.08,626.3,1751.0
31,67.8,624.04,1774.0
32,68.83,622.44,1798.0
33,68.61,620.79,1821.0
34,68.47,619.63,1844.0
35,67.14,618.27,1867.0
36,67.98,617.22,1889.0
37,69.26,616.33,1911.0
38,69.43,614.58,1933.0
39,68.81,613.62,1954.0
40,68.48,613.42,1976.0
41,67.69,612.07,1996.0
42,68.83,611.41,2018.0
43,69.72,610.56,2038.0
44,68.24,609.93,2058.0
45,69.13,609.24,2079.0
46,69.37,608.48,2099.0
47,69.04,607.56,2118.0
48,69.41,607.21,2139.0
49,69.99,606.59,2159.0
50,68.57,606.57,2179.0
51,69.0,605.98,2197.0
52,69.66,605.27,2217.0
53,70.09,604.83,2235.0
54,68.51,604.42,2255.0
55,69.32,603.81,2273.0
56,69.18,603.86,2292.0
57,69.14,603.32,2310.0
58,69.85,602.79,2328.0
59,70.15,602.56,2346.0
60,69.36,602.4,2365.0
61,69.96,601.99,2382.0
62,70.01,602.0,2400.0
63,69.94,601.38,2418.0
64,69.85,600.94,2435.0
65,70.54,600.87,2453.0
66,69.09,600.51,2470.0
67,69.98,600.02,2488.0
68,70.37,599.83,2505.0
69,70.29,600.06,2522.0
70,70.52,599.75,2540.0
71,69.82,599.67,2557.0
72,70.55,599.03,2573.0
73,70.68,599.03,2590.0
74,70.39,598.71,2606.0
75,70.0,598.97,2623.0
76,70.03,598.26,2640.0
77,70.22,598.48,2657.0
78,70.51,598.13,2673.0
79,69.43,597.84,2690.0
80,70.14,597.77,2706.0
81,71.12,597.6,2722.0
82,69.88,597.07,2738.0
83,70.1,597.92,2755.0
84,70.65,597.1,2771.0
85,71.03,596.95,2787.0
86,70.24,596.64,2802.0
87,70.33,596.84,2818.0
88,71.01,596.98,2835.0
89,70.32,596.92,2850.0
90,69.39,596.35,2865.0
91,70.01,596.21,2881.0
92,69.61,596.08,2896.0
93,70.53,596.09,2913.0
94,68.78,595.64,2927.0
95,70.44,596.32,2944.0
96,70.1,595.99,2960.0
97,68.94,596.0,2975.0
98,70.63,595.3,2989.0
99,70.3,595.25,3004.0
